model,token,position,relative_position,seq_length,delta
ordinary_baseline,3,47,0.8703703703703703,54,0.5680022239685059
ordinary_baseline,),48,0.8888888888888888,54,0.27365732192993164
ordinary_baseline,c,49,0.9074074074074074,54,0.382906436920166
ordinary_baseline,2,50,0.9259259259259259,54,0.4735903739929199
ordinary_baseline,),51,0.9444444444444444,54,0.4546689987182617
ordinary_baseline,c,52,0.9629629629629629,54,0.4582676887512207
ordinary_baseline,1,53,0.9814814814814815,54,0.2552986145019531
ordinary_baseline,[*],0,0.0,29,0.11339187622070312
ordinary_baseline,C,1,0.034482758620689655,29,0.22039222717285156
ordinary_baseline,C,2,0.06896551724137931,29,0.22039222717285156
ordinary_baseline,1,3,0.10344827586206896,29,0.08624267578125
ordinary_baseline,C,4,0.13793103448275862,29,0.015117168426513672
ordinary_baseline,C,5,0.1724137931034483,29,0.015117168426513672
ordinary_baseline,C,6,0.20689655172413793,29,0.015117168426513672
ordinary_baseline,(,7,0.2413793103448276,29,0.032746315002441406
ordinary_baseline,C,8,0.27586206896551724,29,0.04867839813232422
ordinary_baseline,O,9,0.3103448275862069,29,0.1116180419921875
ordinary_baseline,C,10,0.3448275862068966,29,0.16687679290771484
ordinary_baseline,(,11,0.3793103448275862,29,0.15312576293945312
ordinary_baseline,=,12,0.41379310344827586,29,0.33046913146972656
ordinary_baseline,O,13,0.4482758620689655,29,0.1682882308959961
ordinary_baseline,),14,0.4827586206896552,29,0.15389537811279297
ordinary_baseline,C,15,0.5172413793103449,29,0.0748586654663086
ordinary_baseline,C,16,0.5517241379310345,29,0.0748586654663086
ordinary_baseline,C,17,0.5862068965517241,29,0.0748586654663086
ordinary_baseline,C,18,0.6206896551724138,29,0.0748586654663086
ordinary_baseline,(,19,0.6551724137931034,29,0.0423431396484375
ordinary_baseline,=,20,0.6896551724137931,29,0.25597476959228516
ordinary_baseline,O,21,0.7241379310344828,29,0.07518577575683594
ordinary_baseline,),22,0.7586206896551724,29,0.01585865020751953
ordinary_baseline,O,23,0.7931034482758621,29,0.03123760223388672
ordinary_baseline,[*],24,0.8275862068965517,29,0.019815444946289062
ordinary_baseline,),25,0.8620689655172413,29,0.08598613739013672
ordinary_baseline,C,26,0.896551724137931,29,0.042830467224121094
ordinary_baseline,C,27,0.9310344827586207,29,0.042830467224121094
ordinary_baseline,1,28,0.9655172413793104,29,0.028746604919433594
ordinary_baseline,[*],0,0.0,32,0.22531986236572266
ordinary_baseline,C,1,0.03125,32,0.21369695663452148
ordinary_baseline,(,2,0.0625,32,0.15014314651489258
ordinary_baseline,C,3,0.09375,32,0.021791934967041016
ordinary_baseline,=,4,0.125,32,0.6376650333404541
ordinary_baseline,C,5,0.15625,32,0.016041994094848633
ordinary_baseline,1,6,0.1875,32,0.39415407180786133
ordinary_baseline,),7,0.21875,32,0.5291950702667236
ordinary_baseline,=,8,0.25,32,0.7207784652709961
ordinary_baseline,C,9,0.28125,32,0.1210782527923584
ordinary_baseline,C,10,0.3125,32,0.1210782527923584
ordinary_baseline,=,11,0.34375,32,0.519805908203125
ordinary_baseline,C,12,0.375,32,0.2266559600830078
ordinary_baseline,1,13,0.40625,32,0.2645745277404785
ordinary_baseline,C,14,0.4375,32,0.34151363372802734
ordinary_baseline,(,15,0.46875,32,0.29869651794433594
ordinary_baseline,=,16,0.5,32,0.9645295143127441
ordinary_baseline,S,17,0.53125,32,0.8072443008422852
ordinary_baseline,),18,0.5625,32,0.19746780395507812
ordinary_baseline,C,19,0.59375,32,0.25527000427246094
ordinary_baseline,(,20,0.625,32,0.06258606910705566
ordinary_baseline,S,21,0.65625,32,0.6202483177185059
ordinary_baseline,2,22,0.6875,32,0.5960140228271484
ordinary_baseline,),23,0.71875,32,0.33960676193237305
ordinary_baseline,=,24,0.75,32,0.8029332160949707
ordinary_baseline,C,25,0.78125,32,0.1060342788696289
ordinary_baseline,C,26,0.8125,32,0.1060342788696289
ordinary_baseline,=,27,0.84375,32,0.2862410545349121
ordinary_baseline,C,28,0.875,32,0.14202499389648438
ordinary_baseline,2,29,0.90625,32,0.05203986167907715
ordinary_baseline,O,30,0.9375,32,0.2365279197692871
ordinary_baseline,[*],31,0.96875,32,0.17686128616333008
ordinary_baseline,[*],0,0.0,66,0.3956303596496582
ordinary_baseline,C,1,0.015151515151515152,66,0.3698253631591797
ordinary_baseline,(,2,0.030303030303030304,66,0.414492130279541
ordinary_baseline,=,3,0.045454545454545456,66,0.060384273529052734
ordinary_baseline,O,4,0.06060606060606061,66,0.0559697151184082
ordinary_baseline,),5,0.07575757575757576,66,0.04632568359375
ordinary_baseline,N,6,0.09090909090909091,66,0.07779264450073242
ordinary_baseline,c,7,0.10606060606060606,66,0.10188102722167969
ordinary_baseline,1,8,0.12121212121212122,66,0.03780102729797363
ordinary_baseline,c,9,0.13636363636363635,66,0.03106546401977539
ordinary_baseline,c,10,0.15151515151515152,66,0.03106546401977539
ordinary_baseline,c,11,0.16666666666666666,66,0.03106546401977539
