source_id,model,best_drift,found,query_count,valid_rate,drift_at_Q5,drift_at_Q10,drift_at_Q20,drift_at_Q50
poly_3763,D0,1.0583165884017944,True,50,1.0,0.5358693599700928,0.5358693599700928,1.0583165884017944,1.0583165884017944
poly_990,D0,0.5437226891517639,True,50,1.0,0.3740848898887634,0.3740848898887634,0.3740848898887634,0.5437226891517639
poly_1689,D0,0.522606372833252,True,50,1.0,0.3535138964653015,0.39362749457359314,0.39362749457359314,0.522606372833252
poly_2093,D0,0.4576510488986969,True,50,1.0,0.10669618844985962,0.29008805751800537,0.3636668920516968,0.4576510488986969
poly_3799,D0,0.26127076148986816,True,50,1.0,0.26127076148986816,0.26127076148986816,0.26127076148986816,0.26127076148986816
poly_930,D0,1.0063236951828003,True,50,1.0,0.3704869747161865,0.7083049416542053,0.8899016976356506,1.0063236951828003
poly_3620,D0,0.19337546825408936,True,40,1.0,0.14505141973495483,0.14505141973495483,0.19337546825408936,0.19337546825408936
poly_2098,D0,0.6219435334205627,True,50,1.0,0.2949615716934204,0.43301504850387573,0.6219435334205627,0.6219435334205627
poly_1493,D0,0.68468177318573,True,50,1.0,0.68468177318573,0.68468177318573,0.68468177318573,0.68468177318573
poly_1294,D0,0.5404294729232788,True,50,1.0,0.24702489376068115,0.44742539525032043,0.44742539525032043,0.5404294729232788
poly_2531,D0,0.48666268587112427,True,50,1.0,0.43520060181617737,0.48666268587112427,0.48666268587112427,0.48666268587112427
poly_514,D0,0.3170356750488281,True,50,1.0,0.13115417957305908,0.3170356750488281,0.3170356750488281,0.3170356750488281
poly_244,D0,0.6832558512687683,True,50,1.0,0.3479510545730591,0.4614085555076599,0.6832558512687683,0.6832558512687683
poly_466,D0,0.7041870355606079,True,50,1.0,0.6015626788139343,0.6015626788139343,0.6015626788139343,0.7041870355606079
poly_1171,D0,0.6151701211929321,True,50,1.0,0.3970188796520233,0.4965047836303711,0.5892118215560913,0.6151701211929321
poly_3842,D0,0.3228565454483032,True,36,1.0,0.09126126766204834,0.15742993354797363,0.15742993354797363,0.3228565454483032
poly_3552,D0,0.4105603098869324,True,49,1.0,0.2941209077835083,0.4105603098869324,0.4105603098869324,0.4105603098869324
poly_1117,D0,0.7244051098823547,True,50,1.0,0.6183459162712097,0.6183459162712097,0.7244051098823547,0.7244051098823547
poly_3629,D0,0.2574096918106079,True,50,1.0,0.21062111854553223,0.21422290802001953,0.24240195751190186,0.2574096918106079
poly_2356,D0,1.4102799892425537,True,50,1.0,0.7232527732849121,0.7232527732849121,0.7232527732849121,1.4102799892425537
poly_1461,D0,0.44946813583374023,True,50,1.0,0.44946813583374023,0.44946813583374023,0.44946813583374023,0.44946813583374023
poly_483,D0,1.1250050067901611,True,50,1.0,1.1049286127090454,1.1250050067901611,1.1250050067901611,1.1250050067901611
poly_1700,D0,0.899333119392395,True,50,1.0,0.07085353881120682,0.1920008659362793,0.5291094779968262,0.899333119392395
poly_3290,D0,0.22341901063919067,True,50,1.0,0.10548895597457886,0.10548895597457886,0.22341901063919067,0.22341901063919067
poly_2156,D0,0.4433160424232483,True,50,1.0,0.3866444230079651,0.3866444230079651,0.4433160424232483,0.4433160424232483
poly_3385,D0,0.21439796686172485,True,50,1.0,0.21439796686172485,0.21439796686172485,0.21439796686172485,0.21439796686172485
poly_967,D0,0.5547353029251099,True,50,1.0,0.35146504640579224,0.35146504640579224,0.5547353029251099,0.5547353029251099
poly_3072,D0,0.7721462845802307,True,50,1.0,0.43755489587783813,0.43755489587783813,0.7721462845802307,0.7721462845802307
poly_3316,D0,0.10687077045440674,True,50,1.0,0.10687077045440674,0.10687077045440674,0.10687077045440674,0.10687077045440674
poly_259,D0,0.6220110058784485,True,50,1.0,0.6196227669715881,0.6196227669715881,0.6196227669715881,0.6220110058784485
poly_231,D0,0.4781423807144165,True,50,1.0,0.4092566967010498,0.4092566967010498,0.4092566967010498,0.4781423807144165
poly_2052,D0,0.5456257462501526,True,50,1.0,0.38204655051231384,0.46601733565330505,0.5303195118904114,0.5456257462501526
poly_128,D0,0.49073004722595215,True,50,1.0,0.3408229351043701,0.49073004722595215,0.49073004722595215,0.49073004722595215
poly_2200,D0,0.603334903717041,True,50,1.0,0.43010953068733215,0.4966046214103699,0.4966046214103699,0.603334903717041
poly_32,D0,1.4871782064437866,True,50,1.0,1.19558846950531,1.3981726169586182,1.3981726169586182,1.4871782064437866
poly_2124,D0,0.5051594376564026,True,50,1.0,0.329367458820343,0.4289396405220032,0.4289396405220032,0.5051594376564026
poly_1654,D0,0.5193086266517639,True,50,1.0,0.5193086266517639,0.5193086266517639,0.5193086266517639,0.5193086266517639
poly_189,D0,0.3584778308868408,True,50,1.0,0.2734605073928833,0.2734605073928833,0.2734605073928833,0.3584778308868408
poly_769,D0,0.33041155338287354,True,50,1.0,0.231803297996521,0.231803297996521,0.33041155338287354,0.33041155338287354
poly_3655,D1,0.16761794686317444,True,50,1.0,0.12110555171966553,0.12616026401519775,0.13994789123535156,0.16761794686317444
poly_2369,D1,0.05604010820388794,True,50,1.0,0.013136327266693115,0.01763051748275757,0.03908872604370117,0.05604010820388794
poly_1215,D1,0.10531610250473022,True,50,1.0,0.06593853235244751,0.10531610250473022,0.10531610250473022,0.10531610250473022
