orig_prob,spacing_prob,order_prob,move_prob,bg_prob,rmA_prob,rmB_prob
0.45496341586112976,0.4682847559452057,0.474999338388443,0.47998568415641785,0.552588701248169,0.4797772765159607,0.46894168853759766
0.5399868488311768,0.5251051783561707,0.5502110719680786,0.5726919174194336,0.4890300929546356,0.5552462935447693,0.5308688879013062
0.49236997961997986,0.4966263473033905,0.4842807352542877,0.4718766510486603,0.5630508661270142,0.49246132373809814,0.4949069917201996
0.5282977223396301,0.5224902033805847,0.5184633731842041,0.5077464580535889,0.5136528611183167,0.5196279883384705,0.5375744104385376
0.49785447120666504,0.5001559853553772,0.5147002339363098,0.5038500428199768,0.49789851903915405,0.4891599118709564,0.4826076924800873
0.4875875413417816,0.4664774537086487,0.4832744300365448,0.47677943110466003,0.502336323261261,0.4927084147930145,0.5061907768249512
0.5340660214424133,0.54127037525177,0.5407930612564087,0.5473507642745972,0.4773416221141815,0.5288748145103455,0.5346509218215942
0.537419319152832,0.5586982369422913,0.5525745153427124,0.5297839045524597,0.48860716819763184,0.5481905937194824,0.5440888404846191
0.5383391976356506,0.5396180152893066,0.5179312825202942,0.551533579826355,0.5126007199287415,0.5246405005455017,0.54688560962677
0.5287803411483765,0.5337012410163879,0.5143058896064758,0.5164626836776733,0.5369496941566467,0.5316864252090454,0.5201492309570312
0.4911641478538513,0.48329591751098633,0.5063804984092712,0.4852236807346344,0.503331184387207,0.4926259517669678,0.4962288737297058
0.44936713576316833,0.4329133629798889,0.45613688230514526,0.4586581885814667,0.4802473783493042,0.4431498646736145,0.4536934196949005
0.49101027846336365,0.5244724750518799,0.4861740171909332,0.49661004543304443,0.5286615490913391,0.497496098279953,0.4943905472755432
0.4860784709453583,0.4760836958885193,0.48592010140419006,0.4785473644733429,0.49323391914367676,0.5065503716468811,0.50896817445755
0.5087931156158447,0.5118381381034851,0.5309967994689941,0.5543164014816284,0.5409990549087524,0.507271409034729,0.5031548738479614
0.4637988805770874,0.4758538007736206,0.4598332941532135,0.46713247895240784,0.5364909768104553,0.47994881868362427,0.4649372100830078
0.5078827738761902,0.49983036518096924,0.5046863555908203,0.5131725072860718,0.5051448345184326,0.5055821537971497,0.5090638995170593
0.5201005339622498,0.4875950217247009,0.5070359110832214,0.48772132396698,0.5207260251045227,0.5020318031311035,0.5222600102424622
0.5617815256118774,0.565921425819397,0.5674914717674255,0.5489072203636169,0.5600416660308838,0.5762315392494202,0.5658621191978455
0.5152246356010437,0.5204489827156067,0.5151212215423584,0.483237624168396,0.49838611483573914,0.5199988484382629,0.4952305257320404
0.49081680178642273,0.5107012391090393,0.488797128200531,0.5110211968421936,0.560886800289154,0.494176983833313,0.5037338733673096
0.4921572804450989,0.5140231251716614,0.5223387479782104,0.4965197741985321,0.4675472378730774,0.5170403718948364,0.48630478978157043
0.4822581708431244,0.5023823380470276,0.5037840604782104,0.5152172446250916,0.5475081205368042,0.4708506762981415,0.5026108622550964
0.5286974906921387,0.5156548023223877,0.5255160927772522,0.5152093768119812,0.5283442735671997,0.5261514186859131,0.5277696251869202
0.5396783947944641,0.5264480113983154,0.5567402243614197,0.526013195514679,0.4970656931400299,0.5273275971412659,0.56371009349823
0.48120421171188354,0.48791781067848206,0.4857599437236786,0.4665621221065521,0.5059543251991272,0.4792797863483429,0.48999977111816406
0.5518644452095032,0.5553407669067383,0.5472926497459412,0.5167323350906372,0.5142120122909546,0.5463151931762695,0.5781984329223633
0.5238460302352905,0.5294053554534912,0.5389227867126465,0.5151554942131042,0.4900684356689453,0.5319941639900208,0.5129036903381348
0.5116515755653381,0.49839529395103455,0.515008270740509,0.4969760477542877,0.4903428554534912,0.5085873007774353,0.5163567662239075
0.5431272387504578,0.5430430769920349,0.5360724925994873,0.5492645502090454,0.4798140227794647,0.5461521148681641,0.5405986309051514
0.51255202293396,0.4884601831436157,0.5187091827392578,0.5096534490585327,0.5225809216499329,0.5304449796676636,0.5275817513465881
0.5756487250328064,0.5673205852508545,0.5438716411590576,0.5743995308876038,0.4996357262134552,0.5826992392539978,0.5857867002487183
0.5072988271713257,0.4893606901168823,0.5131170153617859,0.5055111050605774,0.5146469473838806,0.5173164010047913,0.5035326480865479
0.5053821206092834,0.48606076836586,0.49512654542922974,0.47519350051879883,0.5130652785301208,0.5010989308357239,0.5014587640762329
0.5083281397819519,0.5060492157936096,0.4959876835346222,0.503325879573822,0.49476972222328186,0.5340813994407654,0.5190081596374512
