source_id,true_label,motif_a_attribution,motif_b_attribution,intervening_region_attribution,background_attribution
562,0,0.03311654552817345,0.04398208484053612,0.04552968591451645,0.0423479862511158
578,0,0.14278794825077057,0.07391959428787231,0.050462715327739716,0.04033251479268074
579,1,0.13734012842178345,0.03790111839771271,0.06470531225204468,0.05944418907165527
580,0,0.033957839012145996,0.061429575085639954,0.04279588162899017,0.046550437808036804
584,1,0.0121535025537014,0.01892750710248947,0.008101440034806728,0.00992756336927414
601,0,0.06258318573236465,0.08704744279384613,0.07646290212869644,0.06515875458717346
605,1,0.03455208241939545,0.029174529016017914,0.054569538682699203,0.0494912788271904
625,0,0.03480280935764313,0.0715729296207428,0.050926875323057175,0.05182099714875221
635,1,0.01779583841562271,0.06570567190647125,0.030372582376003265,0.020040564239025116
644,0,0.016452953219413757,0.009586945176124573,0.015048383735120296,0.020537322387099266
649,0,0.023692168295383453,0.06403543055057526,0.06731078773736954,0.05630183219909668
655,0,0.05644451826810837,0.06927050650119781,0.06426247954368591,0.05163639783859253
670,0,0.023034751415252686,0.0925111174583435,0.036462895572185516,0.0336461216211319
685,1,0.002094671130180359,0.0016648471355438232,0.0016589410370215774,0.002059275982901454
690,1,0.0009681223891675472,0.004157764837145805,0.0014636906562373042,0.0015349715249612927
698,1,0.08192788064479828,0.03511418029665947,0.05074268952012062,0.0438460148870945
700,1,0.08103357255458832,0.03494724631309509,0.04509691148996353,0.03580018877983093
719,0,0.04508950561285019,0.03684188425540924,0.041375625878572464,0.02884981594979763
722,0,0.015099916607141495,0.017086513340473175,0.006997089367359877,0.009007994085550308
724,1,0.06913821399211884,0.08254449814558029,0.03968105837702751,0.04062464088201523
745,1,0.06379693746566772,0.042379170656204224,0.05492489039897919,0.045225199311971664
746,0,0.054707035422325134,0.00815026555210352,0.007618919014930725,0.010438350029289722
752,1,0.041258588433265686,0.07953671365976334,0.03834014758467674,0.046612538397312164
759,1,0.0325581356883049,0.035085529088974,0.03401130810379982,0.03152962774038315
768,1,0.073305144906044,0.060626059770584106,0.05795048922300339,0.04946082457900047
771,1,0.044672124087810516,0.1417691856622696,0.06919705122709274,0.05211598053574562
776,1,0.048456426709890366,0.029651395976543427,0.04503431171178818,0.04561430960893631
