Q,strategy,operator,source_id,declared_budget,queries_counted_by_budget,predictor_predict_calls,molecules_sent_to_model,raw_proposals,valid_proposals,duplicate_valid_proposals,unique_valid_proposals
20,Random,SimpleSubst,3084,20,20,44,1,18,18,0,18
20,Random,SimpleSubst,3132,20,20,44,3,47,47,8,39
20,Random,SimpleSubst,3430,20,20,44,4,26,26,2,24
20,Random,Motif,3167,20,20,44,0,1,1,0,1
20,Random,Motif,3128,20,20,44,1,18,18,0,18
20,Random,Motif,3364,20,20,44,0,1,0,0,0
20,Random,Motif,3414,20,20,44,1,18,18,0,18
20,Random,Motif,3539,20,20,44,0,3,3,0,3
20,Random,Motif,2958,20,20,44,4,50,50,0,50
20,Random,Motif,3459,20,20,44,2,25,25,0,25
20,Random,Motif,3385,20,20,44,0,2,2,0,2
20,Random,Motif,3281,20,20,44,0,1,0,0,0
20,Random,Motif,3449,20,20,44,0,14,14,0,14
20,Random,Motif,3350,20,20,44,0,11,11,0,11
20,Random,Motif,3572,20,20,44,2,26,26,0,26
20,Random,Motif,3201,20,20,44,0,1,0,0,0
20,Random,Motif,3453,20,20,44,0,1,0,0,0
20,Random,Motif,3482,20,20,44,0,1,0,0,0
20,Random,Motif,3381,20,20,44,0,3,3,0,3
20,Random,Motif,3422,20,20,44,2,20,20,0,20
20,Random,Motif,3176,20,20,44,2,26,26,0,26
20,Random,Motif,3200,20,20,44,0,5,5,0,5
20,Random,Motif,3427,20,20,44,2,24,24,0,24
20,Random,Motif,3258,20,20,44,1,16,16,0,16
20,Random,Motif,3295,20,20,44,2,23,23,0,23
20,Random,Motif,3471,20,20,44,0,4,4,0,4
20,Random,Motif,3537,20,20,44,2,19,19,0,19
20,Random,Motif,3008,20,20,44,0,10,10,0,10
20,Random,Motif,3411,20,20,44,1,16,16,0,16
20,Random,Motif,3361,20,20,44,5,40,40,0,40
20,Random,Motif,3084,20,20,44,0,11,11,0,11
20,Random,Motif,3132,20,20,44,2,17,17,0,17
20,Random,Motif,3430,20,20,44,0,4,4,0,4
20,Greedy,SimpleSubst,3167,20,20,46,4,27,27,8,19
20,Greedy,SimpleSubst,3128,20,20,46,4,38,38,0,38
20,Greedy,SimpleSubst,3364,20,20,46,6,39,39,4,35
20,Greedy,SimpleSubst,3414,20,20,46,6,48,48,6,42
20,Greedy,SimpleSubst,3539,20,20,46,0,21,21,8,13
20,Greedy,SimpleSubst,2958,20,20,46,3,89,89,0,89
20,Greedy,SimpleSubst,3459,20,20,46,2,50,50,4,46
20,Greedy,SimpleSubst,3385,20,20,48,8,14,14,0,14
20,Greedy,SimpleSubst,3281,20,20,46,6,55,55,4,51
20,Greedy,SimpleSubst,3449,20,20,46,4,35,35,0,35
20,Greedy,SimpleSubst,3350,20,20,46,3,29,29,6,23
20,Greedy,SimpleSubst,3572,20,20,46,3,53,53,0,53
20,Greedy,SimpleSubst,3201,20,20,46,7,30,30,0,30
20,Greedy,SimpleSubst,3453,20,20,46,5,36,36,2,34
20,Greedy,SimpleSubst,3482,20,20,46,6,26,26,2,24
20,Greedy,SimpleSubst,3381,20,20,46,1,27,27,8,19
20,Greedy,SimpleSubst,3422,20,20,46,4,34,34,0,34
20,Greedy,SimpleSubst,3176,20,20,46,4,50,50,0,50
20,Greedy,SimpleSubst,3200,20,20,48,5,17,17,2,15
20,Greedy,SimpleSubst,3427,20,20,46,4,56,56,0,56
20,Greedy,SimpleSubst,3258,20,20,46,2,40,40,0,40
20,Greedy,SimpleSubst,3295,20,20,46,3,57,57,4,53
20,Greedy,SimpleSubst,3471,20,20,48,5,15,15,2,13
20,Greedy,SimpleSubst,3537,20,20,46,5,47,47,6,41
20,Greedy,SimpleSubst,3008,20,20,46,5,67,67,10,57
20,Greedy,SimpleSubst,3411,20,20,46,3,38,38,0,38
20,Greedy,SimpleSubst,3361,20,20,46,3,74,74,0,74
20,Greedy,SimpleSubst,3084,20,20,48,4,18,18,0,18
20,Greedy,SimpleSubst,3132,20,20,46,5,47,47,8,39
20,Greedy,SimpleSubst,3430,20,20,46,3,26,26,2,24
20,Greedy,Motif,3167,20,1,8,0,1,1,0,1
20,Greedy,Motif,3128,20,20,48,5,18,18,0,18
20,Greedy,Motif,3364,20,1,8,0,1,0,0,0
20,Greedy,Motif,3414,20,20,48,4,18,18,0,18
20,Greedy,Motif,3539,20,4,16,0,3,3,0,3
20,Greedy,Motif,2958,20,20,46,6,50,50,0,50
20,Greedy,Motif,3459,20,20,46,1,25,25,0,25
20,Greedy,Motif,3385,20,2,10,0,2,2,0,2
20,Greedy,Motif,3281,20,1,8,0,1,0,0,0
20,Greedy,Motif,3449,20,20,48,8,14,14,0,14
20,Greedy,Motif,3350,20,20,48,9,11,11,0,11
20,Greedy,Motif,3572,20,20,46,4,26,26,0,26
20,Greedy,Motif,3201,20,1,8,0,1,0,0,0
20,Greedy,Motif,3453,20,1,8,0,1,0,0,0
20,Greedy,Motif,3482,20,1,8,0,1,0,0,0
20,Greedy,Motif,3381,20,4,16,0,3,3,0,3
20,Greedy,Motif,3422,20,20,46,0,20,20,0,20
20,Greedy,Motif,3176,20,20,46,1,26,26,0,26
20,Greedy,Motif,3200,20,9,28,0,5,5,0,5
20,Greedy,Motif,3427,20,20,46,1,24,24,0,24
20,Greedy,Motif,3258,20,20,48,5,16,16,0,16
20,Greedy,Motif,3295,20,20,46,1,23,23,0,23
20,Greedy,Motif,3471,20,6,20,0,4,4,0,4
20,Greedy,Motif,3537,20,20,48,3,19,19,0,19
20,Greedy,Motif,3008,20,20,50,10,10,10,0,10
20,Greedy,Motif,3411,20,20,48,5,16,16,0,16
20,Greedy,Motif,3361,20,20,46,6,40,40,0,40
20,Greedy,Motif,3084,20,20,50,9,11,11,0,11
20,Greedy,Motif,3132,20,20,48,6,17,17,0,17
20,Greedy,Motif,3430,20,9,28,0,4,4,0,4
20,Evolutionary,SimpleSubst,3167,20,20,44,1,27,27,8,19
20,Evolutionary,SimpleSubst,3128,20,20,44,0,38,38,0,38
20,Evolutionary,SimpleSubst,3364,20,20,44,0,39,39,4,35
20,Evolutionary,SimpleSubst,3414,20,20,44,0,48,48,6,42
