query_budget,method,source_id,source_smiles,phase12b_drift_eV,phase12b_queries,v2_drift_eV,v2_queries,v2_operator_edits,v2_atom_edits,drift_ratio_v2_over_phase12b
10,random,24,*C=CCCCCCCCCCC*,1.0514297485351562,10,0.9663491249084473,10,1,1,0.9190810192071865
10,random,25,*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)F,2.123220920562744,10,0.1760101318359375,10,1,1,0.08289770043773274
10,random,26,*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)F,2.271700382232666,10,1.6965265274047852,10,1,1,0.7468091041730643
10,random,27,*CCCCCCCCCCCCC(=O)N*,1.169145107269287,10,1.1691932678222656,10,1,1,1.0000411929645678
10,random,28,*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,1.6876797676086426,10,0.7936840057373047,10,1,1,0.4702811640989896
10,random,29,*CCCCCNC(=O)C(OC)C(OC)C(=O)N*,0.7314248085021973,10,0.7706403732299805,10,1,1,1.0536153057319568
10,greedy,0,*C#CC(CCCCOC(=O)NCCC)=C(*)CCCCOC(=O)NCCC,0.7327742576599121,10,0.6894159317016602,10,1,1,0.9408299001977564
10,greedy,1,*CC(*)C=C,1.6042571067810059,10,1.4197659492492676,10,1,1,0.8849990087300122
10,greedy,2,*CC(=S)NO*,1.1681137084960938,10,1.8943266868591309,10,1,1,1.6216971627685213
10,greedy,3,*CC(=O)CC(*)=S,1.1173896789550781,10,0.5305600166320801,10,1,1,0.47482093903733824
10,greedy,4,*CC(=O)C(=S)C(*)=O,1.9230775833129883,10,1.3798069953918457,10,1,1,0.7174993912698928
10,greedy,5,*C#Cc1cc(C#Cc2cc(N)c(*)cc2[N+](=O)[O-])c(OCCOCCOC)cc1OCCOCCOC,0.13346099853515625,10,0.35648488998413086,10,1,1,2.671079145944092
10,greedy,6,*C#Cc1ccc(C#Cc2sc(*)c([N+](=O)[O-])c2[N+](=O)[O-])cc1,0.7239062786102295,10,0.5561063289642334,10,1,1,0.7682021076427987
10,greedy,7,*C#Cc1sc(C#Cc2ccc(*)nc2)c([N+](=O)[O-])c1[N+](=O)[O-],0.8429698944091797,10,0.7270669937133789,10,1,1,0.8625064768451373
10,greedy,8,*CCCCCCCCCCOC(=O)c1ccc(C=Cc2ccc(C(=O)O*)cc2)cc1,0.39857029914855957,10,0.24011635780334473,10,1,1,0.6024441819079095
10,greedy,9,*C=Cc1csc(C=Cc2cccc(*)n2)c1CCCCCCCC,1.6696031093597412,10,0.5258514881134033,10,1,1,0.3149559827515275
10,greedy,10,*CC(*)C(=O)NCCO,1.0282273292541504,10,1.3032522201538086,10,1,1,1.267474791882019
10,greedy,11,*CC(*)C(=O)SC(C)CC,0.5429706573486328,10,0.8054475784301758,10,1,1,1.483409034225234
10,greedy,12,*OC(=O)CCSCCC(*)=O,1.111083984375,10,0.7387561798095703,10,1,1,0.6648967946605142
10,greedy,13,*CC(*)C(=O)OCCCSCC,0.3132967948913574,10,0.6369657516479492,10,1,1,2.0331065048681114
10,greedy,14,*C=CC(C)C(*)C(=O)OCCCC,1.346832275390625,10,1.0944733619689941,10,1,1,0.8126278096888949
10,greedy,15,*NC(CCC(=O)OCCCC)C(*)=O,1.3827261924743652,10,0.8963623046875,10,1,1,0.6482572685511039
10,greedy,16,*CC(*)(C#N)C(=O)OCC(C)OCC=C,1.1240639686584473,10,1.7012114524841309,10,1,1,1.5134471879874418
10,greedy,17,*C(=NCCCCCC)N(*)CCCCCC,0.7660729885101318,10,0.9751415252685547,10,1,1,1.272909422331966
10,greedy,18,*CC#CC#CCOC(=O)CCCCC(=O)O*,1.5248467922210693,10,0.7486977577209473,10,1,1,0.49099867707391454
10,greedy,19,*CC(CO*)(CS(=O)(=O)CCC)CS(=O)(=O)CCC,1.8071942329406738,10,1.0704607963562012,10,1,1,0.5923330081760736
10,greedy,20,*CC(C)(C)CS(*)(=O)=O,1.2410173416137695,10,1.2391977310180664,10,1,1,0.998533775045128
10,greedy,21,*C(F)C(*)(F)OC(F)(F)F,1.7734594345092773,10,0.31424427032470703,10,1,1,0.17719281547122592
10,greedy,22,*CC(*)C(=O)OCCCCC,1.2677931785583496,10,1.6253681182861328,10,1,1,1.2820451677570892
10,greedy,23,*CC(*)(C)C(=O)OCCCOC,1.6234326362609863,10,0.9815883636474609,10,1,1,0.6046375696303661
10,greedy,24,*C=CCCCCCCCCCC*,1.2679710388183594,10,0.995185375213623,10,1,1,0.7848644367627282
10,greedy,25,*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)F,2.123220920562744,10,0.18304443359375,10,1,1,0.08621073380589873
10,greedy,26,*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)F,1.4232125282287598,10,1.1263480186462402,10,1,1,0.7914123831161195
10,greedy,27,*CCCCCCCCCCCCC(=O)N*,1.5734357833862305,10,1.3280911445617676,10,1,1,0.8440707644919258
10,greedy,28,*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,1.7714710235595703,10,1.3996682167053223,10,1,1,0.7901163485546874
10,greedy,29,*CCCCCNC(=O)C(OC)C(OC)C(=O)N*,0.7314248085021973,10,0.9211139678955078,10,1,1,1.259341981825519
10,metropolis,0,*C#CC(CCCCOC(=O)NCCC)=C(*)CCCCOC(=O)NCCC,0.579913854598999,10,0.5772275924682617,10,3,3,0.9953678255667907
10,metropolis,1,*CC(*)C=C,0.7663764953613281,10,1.6042571067810059,10,3,2,2.0933015515104456
10,metropolis,2,*CC(=S)NO*,0.7284018993377686,10,1.7725539207458496,10,3,1,2.433483386516947
10,metropolis,3,*CC(=O)CC(*)=S,0.562800407409668,10,0.7148704528808594,10,2,2,1.2702024438310295
10,metropolis,4,*CC(=O)C(=S)C(*)=O,1.8576555252075195,10,1.7847394943237305,10,2,2,0.9607483573276355
10,metropolis,5,*C#Cc1cc(C#Cc2cc(N)c(*)cc2[N+](=O)[O-])c(OCCOCCOC)cc1OCCOCCOC,0.15055298805236816,10,0.3581509590148926,10,3,3,2.3789030270878038
10,metropolis,6,*C#Cc1ccc(C#Cc2sc(*)c([N+](=O)[O-])c2[N+](=O)[O-])cc1,0.08964037895202637,10,0.46506690979003906,10,3,1,5.188140827014275
10,metropolis,7,*C#Cc1sc(C#Cc2ccc(*)nc2)c([N+](=O)[O-])c1[N+](=O)[O-],0.2563912868499756,10,0.6413860321044922,10,3,3,2.5015905960946005
10,metropolis,8,*CCCCCCCCCCOC(=O)c1ccc(C=Cc2ccc(C(=O)O*)cc2)cc1,0.3352196216583252,10,0.5785462856292725,10,1,1,1.7258723781359062
10,metropolis,9,*C=Cc1csc(C=Cc2cccc(*)n2)c1CCCCCCCC,0.47547245025634766,10,0.447373628616333,10,3,3,0.940903365431866
10,metropolis,10,*CC(*)C(=O)NCCO,1.2715320587158203,10,1.8967981338500977,10,2,2,1.491742281170451
10,metropolis,11,*CC(*)C(=O)SC(C)CC,0.5595059394836426,10,0.9395928382873535,10,3,3,1.6793259409444088
10,metropolis,12,*OC(=O)CCSCCC(*)=O,0.8143033981323242,10,1.0097851753234863,10,3,3,1.2400601270233143
10,metropolis,13,*CC(*)C(=O)OCCCSCC,0.31345367431640625,10,1.4319019317626953,10,3,2,4.568145308506755
10,metropolis,14,*C=CC(C)C(*)C(=O)OCCCC,0.18354415893554688,10,1.1741113662719727,10,3,3,6.396887664969344
10,metropolis,15,*NC(CCC(=O)OCCCC)C(*)=O,0.28120946884155273,10,1.827204704284668,10,3,3,6.497664220951981
10,metropolis,16,*CC(*)(C#N)C(=O)OCC(C)OCC=C,1.108513355255127,10,0.3903470039367676,10,3,3,0.3521355896040858
10,metropolis,17,*C(=NCCCCCC)N(*)CCCCCC,0.39949703216552734,10,0.6480312347412109,10,3,3,1.6221177695074993
10,metropolis,18,*CC#CC#CCOC(=O)CCCCC(=O)O*,1.1852965354919434,10,1.7563252449035645,10,3,3,1.4817602113167592
