source_id,strategy,candidate,baseline_drift,robust_drift,transfer_ratio
poly_1609,greedy,[*]CCOCSOCCOC(=O)C=CC(=O)NCCCCCCNC(=O)C=CC(=O)O[*],0.7506394386291504,0.08874654769897461,0.11822793092386316
poly_1609,metropolis,[*]CCOCCOCCOC(=O)C=CC(=O)NCCCCCSNC(=S)C=SC(=O)O[*],1.468864917755127,0.416928768157959,0.283844186839967
poly_1609,random,[*]CCOCSOCCOC(=O)C=CC(=O)NCCCSCCNC(=O)C=CC(=O)O[*],1.1660189628601074,0.360288143157959,0.3089899518222367
poly_1654,greedy,C(O2)([*])=NN=C2C1=CS=C(C=C1)C2(C1=CC=CC=C1C(=O)O2)C1=CC=C(C=C1)O([*]),0.8114397525787354,0.2599670886993408,0.3203775608394485
poly_1654,metropolis,C(O2)([*])=NC=C2C1=CC=C(C=C1)S2(C1=CC=CC=C1C(=O)S2)C1=CC=C(C=C1)O([*]),1.8779621124267578,0.44522619247436523,0.23707943282148056
poly_1654,random,C(S2)([*])=NN=C2C1=CC=C(C=C1)C2(C1=CI=CC=C1C(=O)S2)C1=CC=C(C=C1)O([*]),1.5445358753204346,0.5570616722106934,0.36066606228561926
poly_1667,greedy,[*]c1cccc(/s2nnc([*])s2)c1,2.9926187992095947,0.16454124450683594,0.05498236011559317
poly_1667,metropolis,[*]c1cccc(/s2nnc([*])s2)c1,2.9926187992095947,0.16454124450683594,0.05498236011559317
poly_1667,random,[*]c1cccc(/s2nnc([*])s2)c1,2.9926187992095947,0.16454124450683594,0.05498236011559317
poly_1689,greedy,[*]Os1ccc(C(C)(C)c2ccc(OC(=O)OCCN(CCOC([*])=O)c3ccc(OC)cc3)cc2)cc1,1.5671586990356445,1.0604572296142578,0.6766750746218703
poly_1689,metropolis,[*]Ns1ccc(C(C)(C)s2ccc(OC(=O)OCCN(CCOC([*])=O)c3ccc(OC)cc3)cc2)cc1,2.3797543048858643,1.6869421005249023,0.7088723810947408
poly_1689,random,[*]Os1ccc(C(N)(C)c2ccc(OC(=O)OCCN(CCOC([*])=O)c3ccs(OC)cc3)cc2)cc1,2.299673318862915,1.3600382804870605,0.5914049918879514
poly_17,greedy,[*]C-C([*])c1cccc(C-C)c1,4.925246238708496,2.9857685565948486,0.6062171131930615
poly_17,metropolis,[*]C-C([*])c1cncc(C-C)c1,5.351911544799805,3.0758492946624756,0.5747197555331666
poly_17,random,[*]C-C([*])c1cccc(C-P)c1,5.192432880401611,3.2624709606170654,0.628312591758476
poly_1700,greedy,[*]CP(=O)OC(=O)c1cccs(O[*])c1,1.9067003726959229,0.5085587501525879,0.26672190210647845
poly_1700,metropolis,[*]IC(=O)NC(=O)c1cccs(O[*])c1,2.13763427734375,0.6275031566619873,0.2935502874896497
poly_1700,random,[*]CP(=O)IC(=O)c1cccs(O[*])c1,2.2233314514160156,0.7154459953308105,0.32179007537322013
poly_1809,greedy,[*]CONCc1nc2cc3sc([*])nc3cc2s1,2.0822579860687256,0.1914806365966797,0.09195817131103552
poly_1809,metropolis,[*]NOCNc1nc2cc3sc([*])nc3cc2s1,2.3023293018341064,0.2189345359802246,0.09509262458928643
poly_1809,random,[*]COCCs1nc2cc3sc([*])nc3cs2s1,1.62803316116333,0.47571372985839844,0.2922014988432248
poly_1826,greedy,[*]Os1ccc(C(C)(C)c2ccc(Oc3nc([*])nc(Cl)n3)cc2)cc1,0.8392295837402344,0.4569880962371826,0.5445328728766949
poly_1826,metropolis,[*]Os1ccc(C(C)(C)c2ccc(Oc3ns([*])nc(C)n3)cc2)cc1,1.7808775901794434,1.156503438949585,0.6494008601866085
poly_1826,random,[*]Cs1ccc(C(C)(C)c2ccs(Oc3nc([*])nc(Cl)n3)cc2)cc1,1.688642978668213,1.2535901069641113,0.7423653920929952
poly_189,greedy,[*]c1ccc(N(s2ccc(C#N)cc2)c2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)cc2)cc1,1.3062796592712402,0.3456461429595947,0.2646034794359633
poly_189,metropolis,[*]c1ccc(N(c2ccc(C#N)cc2)c2ccc(N3C(=O)c4ccc(-s5ccc6c(c5)C(=O)N([*])C6=S)cs4C3=O)cc2)cc1,1.0798368453979492,0.513378381729126,0.475422175041575
poly_189,random,[*]c1ccc(N(s2ccc(C#N)cc2)s2cnc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)cc2)cc1,1.3303236961364746,0.37371301651000977,0.28091886027088514
poly_2052,greedy,[*]Cs1cc(COC(=O)Nc2ccc(Cc3ccc(NC(=O)O[*])cc3)cc2)cc(C(C)(C)C)c1,2.3476221561431885,0.3110928535461426,0.13251402178671895
poly_2052,metropolis,[*]Cs1cc(COC(=O)Ns2ccc(Cc3ccc(NC(=O)O[*])cc3)cc2)cc(C(C)(O)C)c1,3.027571439743042,0.4246683120727539,0.14026698313312028
poly_2052,random,[*]Sc1cc(COC(=O)Nc2ccc(Cc3ccc(NC(=O)O[*])cc3)cc2)ns(C(C)(C)C)c1,2.525378942489624,0.18171358108520508,0.07195497595543592
poly_2068,greedy,[*]OC(=O)c1ccc(CCCCCc2ccs(C([*])=O)cc2)cc1,1.497952938079834,1.6269514560699463,1.0861165359143194
poly_2068,metropolis,[*]NC(=O)c1ccc(CCCCCs2ccs(C([*])=O)cc2)cc1,2.763648748397827,1.5139994621276855,0.5478262977541549
poly_2068,random,[*]IC(=O)c1ccc(CCCCCc2ccs(C([*])=O)cn2)cc1,2.327601194381714,2.2749974727630615,0.9774000280865874
poly_2076,greedy,O([*])C(=O)Oc1c(OC)cs(cc1)C(C)c1ccc(cc1)([*]),1.8560595512390137,0.8127217292785645,0.4378748131955311
poly_2076,metropolis,O([*])C(=O)Oc1c(OCl)cs(cc1)C(C)s1ccc(cc1)([*]),2.4706838130950928,0.7476930618286133,0.3026259604186089
poly_2076,random,O([*])C(=O)Oc1c(OC)cs(cc1)C(C)s1ccc(cc1)([*]),2.399651050567627,0.7941305637359619,0.3309358515056236
poly_2093,greedy,[*]CCCCSC(=O)CCCCCCC(=O)NCCCCNC(=O)C(=O)N[*],0.897301197052002,0.0697011947631836,0.07767870475619587
poly_2093,metropolis,[*]CCCCNC(=O)CCCCCCC(=I)NCCSCNS(=O)C(=O)N[*],1.419166088104248,0.7481660842895508,0.5271871210571039
poly_2093,random,[*]CCCCSC(=O)CCCCCCC(=S)NCCCCNI(=O)C(=O)N[*],1.3599390983581543,0.6516361236572266,0.47916566590661497
