source_id,op,clean_pos,adv_pos,clean_delta,adv_delta
3634,matched,13.0,11.0,0.2479920387268066,0.4091348648071289
3634,matched,14.0,12.0,0.4157671928405761,0.1476602554321289
3634,matched,15.0,13.0,0.2093510627746582,0.2588930130004883
3634,matched,16.0,14.0,0.0662569999694824,0.2685360908508301
3634,matched,17.0,15.0,0.2161312103271484,0.008760929107666
3634,matched,18.0,16.0,0.0109858512878417,0.0495152473449707
3634,matched,19.0,17.0,0.0109858512878417,0.0495152473449707
3634,matched,20.0,18.0,0.0109858512878417,0.0495152473449707
3634,matched,21.0,19.0,0.0482940673828125,0.03342866897583
3634,matched,22.0,20.0,0.0839591026306152,0.0966744422912597
3634,matched,23.0,21.0,0.0227847099304199,0.0293154716491699
3634,matched,24.0,22.0,0.0452527999877929,0.0324125289916992
3634,matched,25.0,23.0,0.031346321105957,0.0925827026367187
3634,matched,26.0,24.0,0.031346321105957,0.0925827026367187
3634,matched,27.0,25.0,0.031346321105957,0.0925827026367187
3634,matched,28.0,26.0,0.1857180595397949,0.2075247764587402
3634,matched,29.0,27.0,0.1760902404785156,0.1883277893066406
3634,matched,30.0,28.0,0.0212206840515136,0.1618795394897461
3634,matched,31.0,29.0,0.2933435440063476,0.373875617980957
3634,matched,32.0,30.0,0.0413289070129394,0.0676941871643066
3634,matched,33.0,31.0,0.0441374778747558,0.0331530570983886
3634,deleted,34.0,,0.0982842445373535,
3634,matched,35.0,32.0,0.2227454185485839,0.1713433265686035
3634,matched,36.0,33.0,0.1362638473510742,0.0631194114685058
3634,matched,37.0,34.0,0.1115632057189941,0.0515022277832031
3634,matched,38.0,35.0,0.1115632057189941,0.0515022277832031
3634,matched,39.0,36.0,0.0938334465026855,0.2602767944335937
3634,matched,40.0,37.0,0.1983284950256347,0.1226062774658203
3634,matched,41.0,38.0,0.0060124397277832,0.1986737251281738
3634,matched,42.0,39.0,0.0060124397277832,0.1986737251281738
3634,matched,43.0,40.0,0.0337576866149902,0.0489668846130371
3644,matched,0.0,0.0,0.9118165969848632,1.7068452835083008
3644,deleted,1.0,,0.9820795059204102,
3644,matched,2.0,1.0,0.8763318061828613,1.892831802368164
3644,matched,3.0,2.0,0.0496411323547363,0.3076543807983398
3644,matched,4.0,3.0,0.0496411323547363,0.3076543807983398
3644,matched,5.0,4.0,0.0706663131713867,0.2873616218566894
3644,matched,6.0,5.0,0.274207592010498,0.1996736526489257
3644,matched,7.0,6.0,0.274207592010498,0.1996736526489257
3644,matched,8.0,7.0,0.3946709632873535,0.0644478797912597
3644,matched,9.0,8.0,0.674170970916748,0.0164170265197753
3644,matched,10.0,9.0,0.4174013137817383,0.0662755966186523
3644,matched,11.0,10.0,0.5028491020202637,0.0783267021179199
3644,matched,12.0,11.0,0.5844268798828125,0.3337383270263672
3644,matched,13.0,12.0,0.5998129844665527,0.2072610855102539
3644,matched,14.0,13.0,0.5625824928283691,0.3023161888122558
3644,matched,15.0,14.0,0.189826488494873,0.0925207138061523
3644,matched,16.0,15.0,0.8946309089660645,0.6544058322906494
3644,matched,17.0,16.0,0.7315058708190918,0.6109020709991455
3644,matched,18.0,17.0,0.8491129875183105,1.0582208633422852
3644,matched,19.0,18.0,0.5792136192321777,0.7586846351623535
3644,matched,20.0,19.0,0.597900390625,0.7489986419677734
3644,matched,21.0,20.0,0.588045597076416,0.7156639099121094
3644,matched,22.0,21.0,0.5512733459472656,0.8485686779022217
3644,matched,23.0,22.0,0.586479663848877,0.8225343227386475
3644,matched,24.0,23.0,0.590364933013916,0.8223576545715332
3644,matched,25.0,24.0,0.3463897705078125,0.8900268077850342
3644,matched,26.0,25.0,0.3501801490783691,0.9562427997589112
3644,matched,27.0,26.0,0.3182926177978515,1.080458641052246
3644,matched,28.0,27.0,0.2974185943603515,1.0541677474975586
3644,matched,29.0,28.0,0.1437926292419433,0.8996496200561523
3644,matched,30.0,29.0,0.3554816246032715,0.9019994735717772
3644,matched,31.0,30.0,0.4028406143188476,0.9233553409576416
3644,matched,32.0,31.0,0.0064420700073242,0.2092247009277343
3644,matched,33.0,32.0,0.2984442710876465,0.5412747859954834
3644,matched,34.0,33.0,0.2985038757324219,0.5534136295318604
3644,matched,35.0,34.0,0.2689623832702636,0.472752571105957
3644,matched,36.0,35.0,0.1394643783569336,0.2478957176208496
3644,matched,37.0,36.0,0.0957570075988769,0.4745616912841797
3644,matched,38.0,37.0,0.0779929161071777,0.3367724418640136
3644,matched,39.0,38.0,0.2353391647338867,0.5317814350128174
3644,matched,40.0,39.0,0.2695612907409668,0.4967708587646484
3644,matched,41.0,40.0,0.162445068359375,0.4850850105285644
3644,matched,42.0,41.0,0.1194524765014648,0.0220980644226074
3644,matched,43.0,42.0,0.1007165908813476,0.0091176033020019
3648,matched,0.0,0.0,0.8956723213195801,0.1817646026611328
3648,matched,1.0,1.0,1.134653091430664,0.3729128837585449
3648,matched,2.0,2.0,0.7159247398376465,0.0487537384033203
3648,matched,3.0,3.0,0.8922624588012695,0.0296297073364257
3648,matched,4.0,4.0,0.1656789779663086,0.3318095207214355
3648,matched,5.0,5.0,0.1656789779663086,0.3318095207214355
3648,matched,6.0,6.0,0.1656789779663086,0.3318095207214355
3648,matched,7.0,7.0,0.3832149505615234,0.2510633468627929
3648,substituted,8.0,8.0,0.3266096115112304,0.3346810340881347
3648,substituted,9.0,9.0,0.24163818359375,0.0336918830871582
3648,matched,10.0,10.0,0.3319478034973144,0.0336918830871582
3648,matched,11.0,11.0,0.744849681854248,0.4575028419494629
3648,matched,12.0,12.0,0.5104126930236816,0.443943977355957
3648,matched,13.0,13.0,0.3293228149414062,0.3519659042358398
3648,matched,14.0,14.0,0.2345929145812988,0.2264504432678222
3648,substituted,15.0,15.0,0.0875129699707031,0.2989850044250488
3648,matched,16.0,16.0,0.0875129699707031,0.3648953437805176
3648,matched,17.0,17.0,0.0875129699707031,0.3648953437805176
3648,matched,18.0,18.0,0.0875129699707031,0.3648953437805176
3648,matched,19.0,19.0,0.0875129699707031,0.3648953437805176
3648,matched,20.0,20.0,0.0875129699707031,0.3648953437805176
3648,matched,21.0,21.0,0.0875129699707031,0.3648953437805176
3648,matched,22.0,22.0,0.0880260467529296,0.3328828811645508
3648,matched,23.0,23.0,0.1598076820373535,0.1466836929321289
