source_id,type,token,position,delta
3607,clean,O,22,0.5022950172424316
3607,clean,C,23,0.5389256477355957
3607,clean,(,24,0.4716758728027344
3607,clean,[*],25,0.6332921981811523
3607,clean,),26,0.678229808807373
3607,clean,=,27,0.743708610534668
3607,clean,O,28,0.37747764587402344
3607,clean,),29,0.4299163818359375
3607,clean,c,30,0.522374153137207
3607,clean,c,31,0.522374153137207
3607,clean,3,32,0.46077680587768555
3607,clean,),33,0.15098142623901367
3607,clean,c,34,0.049057960510253906
3607,clean,c,35,0.049057960510253906
3607,clean,2,36,0.05210256576538086
3607,clean,),37,0.031138896942138672
3607,clean,c,38,0.07705545425415039
3607,clean,c,39,0.07705545425415039
3607,clean,1,40,0.008762359619140625
3607,mcmc_adv,[*],0,0.07449769973754883
3607,mcmc_adv,O,1,0.1147150993347168
3607,mcmc_adv,c,2,0.34360551834106445
3607,mcmc_adv,1,3,0.3907661437988281
3607,mcmc_adv,c,4,0.6263213157653809
3607,mcmc_adv,c,5,0.6263213157653809
3607,mcmc_adv,c,6,0.6263213157653809
3607,mcmc_adv,(,7,0.5219550132751465
3607,mcmc_adv,C,8,0.6115288734436035
3607,mcmc_adv,c,9,0.8360555171966553
3607,mcmc_adv,2,10,0.895103931427002
3607,mcmc_adv,c,11,0.9641194343566895
3607,mcmc_adv,c,12,0.9641194343566895
3607,mcmc_adv,c,13,0.9641194343566895
3607,mcmc_adv,(,14,0.9015166759490967
3607,mcmc_adv,c,15,0.9898233413696289
3607,mcmc_adv,3,16,0.39576196670532227
3607,mcmc_adv,c,17,0.4359607696533203
3607,mcmc_adv,c,18,0.4359607696533203
3607,mcmc_adv,s,19,2.286564826965332
3607,mcmc_adv,(,20,0.3808150291442871
3607,mcmc_adv,O,21,0.3843245506286621
3607,mcmc_adv,-,22,0.2618064880371094
3607,mcmc_adv,C,23,0.17707300186157227
3607,mcmc_adv,(,24,0.1488664150238037
3607,mcmc_adv,[*],25,0.0816352367401123
3607,mcmc_adv,),26,0.14241480827331543
3607,mcmc_adv,=,27,0.2501370906829834
