sample_id,strategy,query_number,best_drift
row_3473,metropolis_mcmc,2,0.45357847213745117
row_3473,metropolis_mcmc,3,0.48143625259399414
row_3473,metropolis_mcmc,4,0.573798656463623
row_3473,metropolis_mcmc,5,0.573798656463623
row_3473,metropolis_mcmc,6,0.573798656463623
row_3473,metropolis_mcmc,7,0.573798656463623
row_3473,metropolis_mcmc,8,0.573798656463623
row_3473,metropolis_mcmc,9,0.573798656463623
row_3473,metropolis_mcmc,10,0.573798656463623
row_3473,metropolis_mcmc,11,0.573798656463623
row_3473,metropolis_mcmc,12,0.573798656463623
row_3473,evolutionary,0,0.0
row_3473,evolutionary,1,0.20081663131713867
row_3473,evolutionary,2,0.2686271667480469
row_3473,evolutionary,3,0.2686271667480469
row_3473,evolutionary,4,0.2787303924560547
row_3473,evolutionary,5,0.28650903701782227
row_3473,evolutionary,6,0.28650903701782227
row_3473,evolutionary,7,0.5759148597717285
row_3473,evolutionary,8,0.5759148597717285
row_3473,evolutionary,9,0.5759148597717285
row_3473,evolutionary,10,0.5759148597717285
row_3473,evolutionary,11,0.5759148597717285
row_3473,evolutionary,12,0.5759148597717285
row_3051,random,0,0.0
row_3051,random,1,0.24676132202148438
row_3051,random,2,0.24676132202148438
row_3051,random,3,0.499575138092041
row_3051,random,4,0.539207935333252
row_3051,random,5,0.539207935333252
row_3051,random,6,0.539207935333252
row_3051,random,7,0.539207935333252
row_3051,random,8,0.539207935333252
row_3051,random,9,0.539207935333252
row_3051,random,10,0.539207935333252
row_3051,random,11,0.539207935333252
row_3051,random,12,0.539207935333252
row_3051,greedy,0,0.0
row_3051,greedy,1,0.24676132202148438
row_3051,greedy,2,0.24676132202148438
row_3051,greedy,3,0.539207935333252
row_3051,greedy,4,0.539207935333252
row_3051,greedy,5,0.539207935333252
row_3051,greedy,6,0.539207935333252
row_3051,greedy,7,0.539207935333252
row_3051,greedy,8,0.539207935333252
row_3051,greedy,9,1.0158681869506836
row_3051,greedy,10,1.0158681869506836
row_3051,greedy,11,1.0158681869506836
row_3051,greedy,12,1.0158681869506836
row_3051,beam,0,0.0
row_3051,beam,1,0.24676132202148438
row_3051,beam,2,0.24676132202148438
row_3051,beam,3,0.539207935333252
row_3051,beam,4,0.539207935333252
row_3051,beam,5,0.539207935333252
row_3051,beam,6,0.539207935333252
row_3051,beam,7,0.539207935333252
row_3051,beam,8,0.587130069732666
row_3051,beam,9,0.587130069732666
row_3051,beam,10,0.587130069732666
row_3051,beam,11,0.587130069732666
row_3051,beam,12,0.587130069732666
row_3051,metropolis_mcmc,0,0.0
row_3051,metropolis_mcmc,1,0.24676132202148438
row_3051,metropolis_mcmc,2,0.24676132202148438
row_3051,metropolis_mcmc,3,0.539207935333252
row_3051,metropolis_mcmc,4,0.539207935333252
row_3051,metropolis_mcmc,5,0.539207935333252
row_3051,metropolis_mcmc,6,0.539207935333252
row_3051,metropolis_mcmc,7,0.539207935333252
row_3051,metropolis_mcmc,8,0.6358375549316406
row_3051,metropolis_mcmc,9,0.6358375549316406
row_3051,metropolis_mcmc,10,0.6358375549316406
row_3051,metropolis_mcmc,11,0.6412448883056641
row_3051,metropolis_mcmc,12,0.6412448883056641
row_3051,evolutionary,0,0.0
row_3051,evolutionary,1,0.24676132202148438
row_3051,evolutionary,2,0.24676132202148438
row_3051,evolutionary,3,0.24676132202148438
row_3051,evolutionary,4,0.3974432945251465
row_3051,evolutionary,5,0.5421304702758789
row_3051,evolutionary,6,0.5421304702758789
row_3051,evolutionary,7,0.5421304702758789
row_3051,evolutionary,8,0.5421304702758789
row_3051,evolutionary,9,0.5421304702758789
row_3051,evolutionary,10,0.5421304702758789
row_3051,evolutionary,11,0.5421304702758789
row_3051,evolutionary,12,0.5421304702758789
row_3446,random,0,0.0
row_3446,random,1,0.32973194122314453
row_3446,random,2,0.8855061531066895
row_3446,random,3,0.8855061531066895
row_3446,random,4,0.8855061531066895
row_3446,random,5,2.227987289428711
row_3446,random,6,2.227987289428711
row_3446,random,7,2.227987289428711
row_3446,random,8,2.227987289428711
row_3446,random,9,2.227987289428711
row_3446,random,10,2.227987289428711
row_3446,random,11,2.227987289428711
row_3446,random,12,2.227987289428711
row_3446,greedy,0,0.0
row_3446,greedy,1,0.32973194122314453
row_3446,greedy,2,0.32973194122314453
row_3446,greedy,3,0.8525886535644531
row_3446,greedy,4,1.4004054069519043
